Vivado Simulator 2020.1
Time resolution is 1 ps
	time,	clk,	reset,	enable,	count
                   0,	0,	0,	0,	 x
                   5,	1,	0,	0,	 x
                  10,	0,	0,	0,	 x
                  15,	1,	0,	0,	 x
                  20,	0,	0,	1,	 x
                  25,	1,	0,	1,	 x
                  30,	0,	0,	1,	 x
                  35,	1,	0,	1,	 x
                  40,	0,	0,	0,	 x
                  45,	1,	0,	0,	 x
                  50,	0,	0,	0,	 x
                  55,	1,	0,	0,	 x
                  60,	0,	1,	0,	 x
                  65,	1,	1,	0,	 0
                  70,	0,	0,	1,	 0
                  75,	1,	0,	1,	 1
                  80,	0,	0,	1,	 1
                  85,	1,	0,	1,	 2
                  90,	0,	0,	1,	 2
                  95,	1,	0,	1,	 3
                 100,	0,	0,	1,	 3
                 105,	1,	0,	1,	 4
                 110,	0,	0,	1,	 4
                 115,	1,	0,	1,	 5
                 120,	0,	0,	1,	 5
                 125,	1,	0,	1,	 6
                 130,	0,	0,	1,	 6
                 135,	1,	0,	1,	 7
                 140,	0,	0,	1,	 7
                 145,	1,	0,	1,	 8
                 150,	0,	0,	1,	 8
                 155,	1,	0,	1,	 9
                 160,	0,	0,	1,	 9
                 165,	1,	0,	1,	10
                 170,	0,	0,	1,	10
                 175,	1,	0,	1,	11
                 180,	0,	0,	1,	11
                 185,	1,	0,	1,	12
                 190,	0,	0,	1,	12
                 195,	1,	0,	1,	13
                 200,	0,	0,	1,	13
                 205,	1,	0,	1,	14
                 210,	0,	0,	1,	14
                 215,	1,	0,	1,	15
                 220,	0,	0,	1,	15
                 225,	1,	0,	1,	 0
                 230,	0,	0,	1,	 0
                 235,	1,	0,	1,	 1
                 240,	0,	0,	1,	 1
                 245,	1,	0,	1,	 2
                 250,	0,	0,	1,	 2
                 255,	1,	0,	1,	 3
                 260,	0,	0,	1,	 3
                 265,	1,	0,	1,	 4
                 270,	0,	0,	1,	 4
                 275,	1,	0,	1,	 5
                 280,	0,	0,	1,	 5
                 285,	1,	0,	1,	 6
                 290,	0,	0,	1,	 6
                 295,	1,	0,	1,	 7
$finish called at time : 300 ns : File "C:/Users/gsahi/Documents/GitHub/ee242fall2020/counterbilkent/counterbilkent.srcs/sources_1/new/testcounter.v" Line 52
